"Step","LLaMA Finetune - train/loss","LLaMA Finetune - train/loss__MIN","LLaMA Finetune - train/loss__MAX","LLaMA Learning Block - train/loss","LLaMA Learning Block - train/loss__MIN","LLaMA Learning Block - train/loss__MAX"
"0","1.6875","1.6875","1.6875","2.203125","2.203125","2.203125"
"1","1.34375","1.34375","1.34375","1.8984375","1.8984375","1.8984375"
"2","1.2734375","1.2734375","1.2734375","1.5078125","1.5078125","1.5078125"
"3","1.2734375","1.2734375","1.2734375","1.515625","1.515625","1.515625"
"4","1.1796875","1.1796875","1.1796875","1.390625","1.390625","1.390625"
"5","1.125","1.125","1.125","1.34375","1.34375","1.34375"
"6","1.140625","1.140625","1.140625","1.2578125","1.2578125","1.2578125"
"7","1.1328125","1.1328125","1.1328125","1.234375","1.234375","1.234375"
"8","1.140625","1.140625","1.140625","1.234375","1.234375","1.234375"
"9","1.109375","1.109375","1.109375","1.1875","1.1875","1.1875"
"10","1.125","1.125","1.125","1.203125","1.203125","1.203125"
"11","1.1640625","1.1640625","1.1640625","1.234375","1.234375","1.234375"
"12","1.109375","1.109375","1.109375","1.1875","1.1875","1.1875"
"13","1.078125","1.078125","1.078125","1.15625","1.15625","1.15625"
"14","1.0859375","1.0859375","1.0859375","1.15625","1.15625","1.15625"
"15","1.078125","1.078125","1.078125","1.140625","1.140625","1.140625"
"16","1.078125","1.078125","1.078125","1.171875","1.171875","1.171875"
"17","1.109375","1.109375","1.109375","1.171875","1.171875","1.171875"
"18","1.0703125","1.0703125","1.0703125","1.140625","1.140625","1.140625"
"19","1.0859375","1.0859375","1.0859375","1.1484375","1.1484375","1.1484375"
"20","1.078125","1.078125","1.078125","1.1484375","1.1484375","1.1484375"
"21","1.109375","1.109375","1.109375","1.1640625","1.1640625","1.1640625"
"22","1","1","1","1.0625","1.0625","1.0625"
"23","1.046875","1.046875","1.046875","1.109375","1.109375","1.109375"
"24","1.0625","1.0625","1.0625","1.140625","1.140625","1.140625"
"25","1.0546875","1.0546875","1.0546875","1.1171875","1.1171875","1.1171875"
"26","1.015625","1.015625","1.015625","1.109375","1.109375","1.109375"
"27","1.0390625","1.0390625","1.0390625","1.109375","1.109375","1.109375"
"28","1","1","1","1.0703125","1.0703125","1.0703125"
"29","1.03125","1.03125","1.03125","1.109375","1.109375","1.109375"
"30","1.0234375","1.0234375","1.0234375","1.09375","1.09375","1.09375"
"31","1.0703125","1.0703125","1.0703125","1.140625","1.140625","1.140625"
"32","1.0234375","1.0234375","1.0234375","1.1015625","1.1015625","1.1015625"
"33","1.0234375","1.0234375","1.0234375","1.09375","1.09375","1.09375"
"34","1.1171875","1.1171875","1.1171875","1.171875","1.171875","1.171875"
"35","1.0546875","1.0546875","1.0546875","1.109375","1.109375","1.109375"
"36","1.046875","1.046875","1.046875","1.109375","1.109375","1.109375"
"37","0.9765625","0.9765625","0.9765625","1.0625","1.0625","1.0625"
"38","1.015625","1.015625","1.015625","1.109375","1.109375","1.109375"
"39","1","1","1","1.0859375","1.0859375","1.0859375"
"40","1.03125","1.03125","1.03125","1.1015625","1.1015625","1.1015625"
"41","0.9921875","0.9921875","0.9921875","1.078125","1.078125","1.078125"
"42","0.9921875","0.9921875","0.9921875","1.078125","1.078125","1.078125"
"43","0.9609375","0.9609375","0.9609375","1.0703125","1.0703125","1.0703125"
"44","0.96875","0.96875","0.96875","1.0546875","1.0546875","1.0546875"
"45","0.9921875","0.9921875","0.9921875","1.078125","1.078125","1.078125"
"46","0.95703125","0.95703125","0.95703125","1.046875","1.046875","1.046875"
"47","0.98046875","0.98046875","0.98046875","1.078125","1.078125","1.078125"
"48","1.0234375","1.0234375","1.0234375","1.109375","1.109375","1.109375"
"49","0.9765625","0.9765625","0.9765625","1.0703125","1.0703125","1.0703125"
"50","0.95703125","0.95703125","0.95703125","1.046875","1.046875","1.046875"
