"Step","LLaMA Finetune - val/loss","LLaMA Finetune - val/loss__MIN","LLaMA Finetune - val/loss__MAX","LLaMA Learning Block - val/loss","LLaMA Learning Block - val/loss__MIN","LLaMA Learning Block - val/loss__MAX"
"0","1.734375","1.734375","1.734375","2.265625","2.265625","2.265625"
"1","1.375","1.375","1.375","1.9140625","1.9140625","1.9140625"
"2","1.296875","1.296875","1.296875","1.53125","1.53125","1.53125"
"3","1.2109375","1.2109375","1.2109375","1.4375","1.4375","1.4375"
"4","1.1640625","1.1640625","1.1640625","1.3828125","1.3828125","1.3828125"
"5","1.1328125","1.1328125","1.1328125","1.34375","1.34375","1.34375"
"6","1.1796875","1.1796875","1.1796875","1.28125","1.28125","1.28125"
"7","1.1640625","1.1640625","1.1640625","1.2421875","1.2421875","1.2421875"
"8","1.140625","1.140625","1.140625","1.203125","1.203125","1.203125"
"9","1.078125","1.078125","1.078125","1.1484375","1.1484375","1.1484375"
"10","1.1484375","1.1484375","1.1484375","1.2109375","1.2109375","1.2109375"
"11","1.125","1.125","1.125","1.1796875","1.1796875","1.1796875"
"12","1.140625","1.140625","1.140625","1.203125","1.203125","1.203125"
"13","1.140625","1.140625","1.140625","1.1875","1.1875","1.1875"
"14","1.15625","1.15625","1.15625","1.203125","1.203125","1.203125"
"15","1.1328125","1.1328125","1.1328125","1.1953125","1.1953125","1.1953125"
"16","1.109375","1.109375","1.109375","1.171875","1.171875","1.171875"
"17","1.125","1.125","1.125","1.171875","1.171875","1.171875"
"18","1.140625","1.140625","1.140625","1.1875","1.1875","1.1875"
"19","1.1328125","1.1328125","1.1328125","1.1796875","1.1796875","1.1796875"
"20","1.078125","1.078125","1.078125","1.125","1.125","1.125"
"21","1.109375","1.109375","1.109375","1.15625","1.15625","1.15625"
"22","1.1484375","1.1484375","1.1484375","1.1953125","1.1953125","1.1953125"
"23","1.1015625","1.1015625","1.1015625","1.140625","1.140625","1.140625"
"24","1.140625","1.140625","1.140625","1.171875","1.171875","1.171875"
"25","1.125","1.125","1.125","1.171875","1.171875","1.171875"
"26","1.109375","1.109375","1.109375","1.1484375","1.1484375","1.1484375"
"27","1.09375","1.09375","1.09375","1.140625","1.140625","1.140625"
"28","1.140625","1.140625","1.140625","1.1875","1.1875","1.1875"
"29","1.140625","1.140625","1.140625","1.171875","1.171875","1.171875"
"30","1.1328125","1.1328125","1.1328125","1.171875","1.171875","1.171875"
"31","1.09375","1.09375","1.09375","1.1328125","1.1328125","1.1328125"
"32","1.125","1.125","1.125","1.171875","1.171875","1.171875"
"33","1.125","1.125","1.125","1.1640625","1.1640625","1.1640625"
"34","1.1328125","1.1328125","1.1328125","1.1640625","1.1640625","1.1640625"
"35","1.0859375","1.0859375","1.0859375","1.125","1.125","1.125"
"36","1.078125","1.078125","1.078125","1.109375","1.109375","1.109375"
"37","1.1640625","1.1640625","1.1640625","1.203125","1.203125","1.203125"
"38","1.0703125","1.0703125","1.0703125","1.109375","1.109375","1.109375"
"39","1.140625","1.140625","1.140625","1.1796875","1.1796875","1.1796875"
"40","1.140625","1.140625","1.140625","1.171875","1.171875","1.171875"
"41","1.0703125","1.0703125","1.0703125","1.1015625","1.1015625","1.1015625"
"42","1.09375","1.09375","1.09375","1.1328125","1.1328125","1.1328125"
"43","1.1171875","1.1171875","1.1171875","1.15625","1.15625","1.15625"
"44","1.1328125","1.1328125","1.1328125","1.1640625","1.1640625","1.1640625"
"45","1.1171875","1.1171875","1.1171875","1.15625","1.15625","1.15625"
"46","1.078125","1.078125","1.078125","1.1171875","1.1171875","1.1171875"
"47","1.09375","1.09375","1.09375","1.125","1.125","1.125"
"48","1.09375","1.09375","1.09375","1.125","1.125","1.125"
"49","1.1328125","1.1328125","1.1328125","1.171875","1.171875","1.171875"
